iid	lat	long	time	sex	analyis_label	label	source	udg	data_type	location	country	coverage	n_snps
RISE247	47.327	18.962	3372	M	Europe_LNBA	Vatya	AllentoftNature2015	minus	Shotgun	Százhalombatta-Földvár	Hungary	0.273	237322
RISE487	45.26	10.379	4557	M	Europe_MNChL	Remedello_BA	AllentoftNature2015	minus	Shotgun	Remedello di Sotto	Italy	0.223	239530
RISE483	47.341	18.896	2000	F	Europe_LNBA	Vatya	AllentoftNature2015	minus	Shotgun	Erd 4	Hungary	0.121	134337
RISE71	56.676	10.034	3701	F	Europe_LNBA	Nordic_LN	AllentoftNature2015	minus	Shotgun	Falshöj	Denmark	0.26	203604
RISE47	56.97	9.552	3153	M	Europe_LNBA	Nordic_BA	AllentoftNature2015	minus	Shotgun	Sebber skole	Denmark	0.105	103513
RISE435	48.932	12.259	4094	F	Europe_LNBA	Corded_Ware_Germany	AllentoftNature2015	minus	Shotgun	Tiefbrunn	Germany	0.043	50680
RISE486	45.26	10.379	3595	M	Europe_MNChL	Remedello_BA	AllentoftNature2015	minus	Shotgun	Remedello di Sotto	Italy	0.289	203575
RISE61	55.703	11.855	4071	M	Europe_LNBA	Nordic_MN_B	AllentoftNature2015	minus	Shotgun	Kyndelöse	Denmark	0.318	293152
RISE254	47.327	18.962	3631	M	Europe_LNBA	Vatya	AllentoftNature2015	minus	Shotgun	Százhalombatta-Földvár	Hungary	0.038	42943
RISE373	46.22	20.199	3476	F	Europe_LNBA	Maros	AllentoftNature2015	minus	Shotgun	Szöreg - C (Sziv Utca)	Hungary	0.282	259708
RISE94	56.025	14.233	4025	M	Europe_LNBA	BattleAxe_Sweden	AllentoftNature2015	minus	Shotgun	Viby	Sweden	0.927	619914
RISE179	55.397	13.6	3556	M	Europe_LNBA	Nordic_LN	AllentoftNature2015	minus	Shotgun	Abekås I	Sweden	0.045	50762
RISE154	50.948	16.943	3522	F	Europe_LNBA	Unetice_EBA	AllentoftNature2015	minus	Shotgun	Szczepankowice	Poland	0.178	171391
RISE98	55.381	13.445	3736	M	Europe_LNBA	Nordic_LN	AllentoftNature2015	minus	Shotgun	L Beddinge 56	Sweden	6.125	1125643
RISE97	55.557	13.059	3590	F	Europe_LNBA	Nordic_LN	AllentoftNature2015	minus	Shotgun	Fredriksberg	Sweden	0.746	580367
RISE175	55.397	13.6	3025	M	Europe_LNBA	Nordic_BA	AllentoftNature2015	minus	Shotgun	Abekås I	Sweden	0.104	112552
RISE484	47.341	18.896	2000	F	Europe_LNBA	Vatya	AllentoftNature2015	minus	Shotgun	Erd 4	Hungary	0.152	168871
RISE210	55.997	14.104	3105	M	Europe_LNBA	Nordic_BA	AllentoftNature2015	minus	Shotgun	Ängamöllan	Sweden	0.046	51095
RISE276	55.914	11.565	2525	M	Europe_LNBA	Nordic_LBA	AllentoftNature2015	minus	Shotgun	Trundholm mose II	Denmark	0.083	92841
RISE374	46.22	20.199	3402	M	Europe_LNBA	Maros	AllentoftNature2015	minus	Shotgun	Szöreg - C (Sziv Utca)	Hungary	0.149	146423
RISE479	47.341	18.896	2000	M	Europe_LNBA	Vatya	AllentoftNature2015	minus	Shotgun	Erd 4	Hungary	1.4	884093
RISE349	46.356	20.985	3588	F	Europe_LNBA	Hungary_MBA	AllentoftNature2015	minus	Shotgun	Battonya Vörös Oktober	Hungary	0.082	96499
RISE431	52.143	16.538	3762	M	Europe_LNBA	Corded_Ware_Proto_Unetice_Poland	AllentoftNature2015	minus	Shotgun	Leki Male	Poland	0.111	124341
RISE434	48.932	12.259	4161	M	Europe_LNBA	Corded_Ware_Germany	AllentoftNature2015	minus	Shotgun	Tiefbrunn	Germany	0.1	111108
RISE109	50.98	17.068	3544	F	Europe_LNBA	Unetice_EBA	AllentoftNature2015	minus	Shotgun	Wojkowice	Poland	0.215	211732
RISE150	50.918	16.957	3469	F	Europe_LNBA	Unetice_EBA	AllentoftNature2015	minus	Shotgun	Przeclawice	Poland	2.653	654921
RISE480	47.341	18.896	1700	F	Europe_LNBA	Vatya	AllentoftNature2015	minus	Shotgun	Erd 4	Hungary	0.148	158897
RISE371	46.22	20.199	3653	F	Europe_LNBA	Maros	AllentoftNature2015	minus	Shotgun	Szöreg - C (Sziv Utca)	Hungary	0.045	53698
RISE436	48.932	12.259	4124	M	Europe_LNBA	Corded_Ware_Germany	AllentoftNature2015	minus	Shotgun	Tiefbrunn	Germany	0.076	63030
RISE446	50.009	10.18	4015	M	Europe_LNBA	Corded_Ware_Germany	AllentoftNature2015	minus	Shotgun	Bergrheinfeld	Germany	0.172	187862
RISE489	45.26	10.379	4185	M	Europe_MNChL	Remedello_BA	AllentoftNature2015	minus	Shotgun	Remedello di Sotto	Italy	0.548	510496
ATP16	42.3525	-3.518333333	4400	F	Europe_MNChL	Iberia_Chalcolithic	GuntherPNAS2015	minus	Shotgun	El Portalon Cave, Sierra de Atapuerca	Spain	1.184	839051
ATP2	42.3525	-3.518333333	4210	M	Europe_MNChL	Iberia_Chalcolithic	GuntherPNAS2015	minus	Shotgun	El Portalon Cave, Sierra de Atapuerca	Spain	4.484	1205481
ATP9	42.3525	-3.518333333	3390	F	Iberia_BA	Iberia_Bronze_Age	GuntherPNAS2015	minus	Shotgun	El Portalon Cave, Sierra de Atapuerca	Spain	0.461	449162
Matojo	42.3525	-3.518333333	4300	M	Europe_MNChL	Iberia_Chalcolithic	GuntherPNAS2015	minus	Shotgun	El Portalon Cave, Sierra de Atapuerca	Spain	0.087	102497
Stuttgart	48.78	9.18	6246	F	Europe_EN	Stuttgart	LazaridisNature2014	half	Shotgun	Viesenhaeuser Hof, Stuttgart-Muehlhausen	Germany	19	1240000
Loschbour	49.81	6.4	7205	M	WHG	Loschbour_HG	LazaridisNature2014	Mixed:half+plus	Shotgun	Echternach	Luxembourg	22	1240000
I0172	51.42	11.68	3360	M	Europe_MNChL	Esperstedt_MN	MathiesonNature2015	Mixed:half+plus	1240K.capture	Esperstedt	Germany	25.372	1158724
I0174	46.2	18.7	6695	M	Europe_EN	Starcevo_EN	MathiesonNature2015	plus	1240K.capture	Alsonyek-Bataszek, Mernoki telep	Hungary	0.224	231471
I0118	51.45	11.63	3892	F	Europe_LNBA	Alberstedt_LN	MathiesonNature2015	plus	1240K.capture	Alberstedt	Germany	11.371	1089011
I0059	51.82	10.91	3796	F	Europe_LNBA	BenzigerodeHeimburg_LN	MathiesonNature2015	Mixed:half+plus	1240K.capture	Benzingerode-Heimburg	Germany	1.303	752357
I0104	51.42	11.68	3927	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	plus	1240K.capture	Esperstedt	Germany	4.184	990775
I0103	51.42	11.68	4000	F	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	Mixed:half+plus	1240K.capture	Esperstedt	Germany	17.528	1109474
I0049	51.42	11.68	3867	F	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	plus	1240K.capture	Esperstedt	Germany	0.649	534318
I0117	51.42	11.68	3743	F	Europe_LNBA	Unetice_EBA	MathiesonNature2015	Mixed:half+plus	1240K.capture	Esperstedt	Germany	1.902	874673
I0409	42.5	0.5	6280	F	Europe_EN	Iberia_EN	MathiesonNature2015	plus	1240K.capture	Els Trocs	Spain	0.686	528513
I0412	42.5	0.5	6249	M	Europe_EN	Iberia_EN	MathiesonNature2015	half	1240K.capture	Els Trocs	Spain	13.785	1025420
I0054	51.66	11.53	6180	F	Europe_EN	LBK_EN	MathiesonNature2015	plus	1240K.capture	Unterwiederstedt	Germany	18.61	1032320
I0106	51.42	11.68	3867	F	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	plus	1240K.capture	Esperstedt	Germany	0.224	230482
I0115	51.42	11.68	3540	F	Europe_LNBA	Unetice_EBA	MathiesonNature2015	plus	1240K.capture	Esperstedt	Germany	0.409	365760
I0116	51.42	11.68	3650	M	Europe_LNBA	Unetice_EBA	MathiesonNature2015	plus	1240K.capture	Esperstedt	Germany	1.648	640413
I0803	51.167663	11.847527	3650	F	Europe_LNBA	Unetice_EBA	MathiesonNature2015	half	1240K.capture	Eulau	Germany	0.228	224184
I0804	51.167663	11.847527	3671	M	Europe_LNBA	Unetice_EBA	MathiesonNature2015	half	1240K.capture	Eulau	Germany	0.054	62496
I0047	51.89	11.04	3612	F	Europe_LNBA	Unetice_EBA	MathiesonNature2015	half	1240K.capture	Halberstadt-Sonntagsfeld	Germany	1.655	836247
I0048	51.89	11.04	6153	M	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Halberstadt-Sonntagsfeld	Germany	0.456	422925
I0057	51.89	11.04	6173	F	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Halberstadt-Sonntagsfeld	Germany	0.139	151700
I0099	51.89	11.04	2889	M	Europe_LNBA	Halberstadt_LBA	MathiesonNature2015	half	1240K.capture	Halberstadt-Sonntagsfeld	Germany	4.948	985957
I0046	51.89	11.04	6137	F	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Halberstadt-Sonntagsfeld	Germany	1.945	907019
I0550	51.273	11.6559	3993	F	Europe_LNBA	Karsdorf_LN	MathiesonNature2015	half	1240K.capture	Karsdorf	Germany	0.15	166519
I0795	51.273	11.6559	6174	M	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Karsdorf	Germany	0.097	107480
I0559	51.79	11.14	4815	M	Europe_MNChL	Baalberge_MN	MathiesonNature2015	half	1240K.capture	Quedlinburg IX	Germany	0.163	178578
I0164	51.79	11.14	3599	F	Europe_LNBA	Unetice_EBA	MathiesonNature2015	plus	1240K.capture	Quedlinburg VIII	Germany	2.487	863754
I0176	46.4	18.74	6110	F	Europe_EN	LBKT_EN	MathiesonNature2015	plus	1240K.capture	Szemely-Hegyes	Hungary	0.066	71473
I0410	42.5	0.5	6217	M	Europe_EN	Iberia_EN	MathiesonNature2015	plus	1240K.capture	Els Trocs	Spain	1.305	528396
I0413	42.5	0.5	6234	F	Europe_EN	Iberia_EN	MathiesonNature2015	plus	1240K.capture	Els Trocs	Spain	1.572	657071
I1498	47.52	21.589	6207	F	Europe_EN	Hungary_MN	MathiesonNature2015	half	1240K.capture	Debrecen Tocopart Erdoalja	Hungary	4.879	839760
I1497	47.167	19.833	4421	F	Europe_MNChL	Hungary_Late_Copper_Age	MathiesonNature2015	half	1240K.capture	Apc-Berekalya I	Hungary	4.563	843595
I0805	51.79166667	11.14722222	3839	M	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	half	1240K.capture	Quedlinburg VII	Germany	0.232	231622
I0806	51.79	11.14	3824	M	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	half	1240K.capture	Quedlinburg VII	Germany	0.13	142638
I0406	41.2522	-2.32622	3900	M	Europe_MNChL	Iberia_MN	MathiesonNature2015	plus	1240K.capture	La Mina	Spain	3.947	738288
I0112	51.79	11.14	3820	F	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	plus	1240K.capture	Quedlinburg XII	Germany	3.768	985107
I0807	51.42	11.68	5061	M	Europe_MNChL	Baalberge_MN	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.086	94260
I1281	42.33333333	-3.5	4110	F	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	1.575	646025
I1277	42.33333333	-3.5	3950	M	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.941	566637
I1282	42.33333333	-3.5	3950	M	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.06	69288
I1284	42.33333333	-3.5	3950	M	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.114	125450
I0111	51.45	11.54	3881	F	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	Mixed:half+plus	1240K.capture	Rothenschirmbach	Germany	0.731	558181
I1276	42.33333333	-3.5	3950	F	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.104	117488
I0797	51.28305556	11.65	5500	M	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Karsdorf	Germany	0.087	95833
I0108	51.45	11.54	3953	F	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	Mixed:half+plus	1240K.capture	Rothenschirmbach	Germany	1.197	764099
I1500	47.167	20.833	6164	M	Europe_EN	ALPC_Hungary_MN	MathiesonNature2015	half	1240K.capture	Kompolt-Kigyoser	Hungary	4.246	854790
I1280	42.33333333	-3.5	3950	F	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.22	208463
I1539	51.42	11.68	3967	F	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.132	143190
I1532	51.42	11.68	2500	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.566	475207
I0113	51.79	11.14	3773	F	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	Mixed:half+plus	1240K.capture	Quedlinburg XII	Germany	0.777	609165
I1505	47.88	21.192	6153	F	Europe_EN	Hungary_Neolithic	MathiesonNature2015	half	1240K.capture	Polgar Ferenci hat	Hungary	3.494	797508
I1538	51.42	11.68	2050	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.126	137950
I1540	51.42	11.68	2050	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.298	291946
I1314	42.33333333	-3.5	3950	M	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.268	224117
I1542	51.42	11.68	2050	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.068	78085
I1508	47.318741	21.527443	6726	F	Europe_EN	Koros_Hungary_EN	MathiesonNature2015	half	1240K.capture	Berettyóújfalu-Morotva-Liget	Hungary	0.914	585392
I1271	42.33333333	-3.5	3950	F	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.241	239592
I1504	47.82	19.95	2769	M	Europe_LNBA	Late_Bronze_Age	MathiesonNature2015	half	1240K.capture	Ludas-Varju-Dulo	Hungary	1.332	704178
I0405	41.2522	-2.32622	3900	M	Europe_MNChL	Iberia_MN	MathiesonNature2015	plus	1240K.capture	La Mina	Spain	0.377	327044
I1534	51.42	11.68	2500	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.158	167366
I1550	51.89	11.04	5500	F	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Halberstadt-Sonntagsfeld	Germany	0.745	514954
I1300	42.33333333	-3.5	3950	F	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	2.792	807280
I0060	51.45	11.54	3822	F	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	plus	1240K.capture	Rothenschirmbach	Germany	0.105	118605
I1496	47.167	19.833	6135	M	Europe_EN	LBK_Hungary_MN	MathiesonNature2015	half	1240K.capture	Apc-Berekalya I	Hungary	5.246	835911
I1272	42.33333333	-3.5	4080	F	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.977	599689
I0407	41.2522	-2.32622	3900	F	Europe_MNChL	Iberia_MN	MathiesonNature2015	plus	1240K.capture	La Mina	Spain	1.363	567058
I1502	47.167	20.833	3686	F	Europe_LNBA	Hungary_Mako_EBA	MathiesonNature2015	half	1240K.capture	Kompolt-Kigyoser	Hungary	4.682	824420
I1544	51.42	11.68	2500	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.104	117069
I0100	51.89	11.04	6080	F	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Halberstadt-Sonntagsfeld	Germany	6.727	1002375
